RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
1;minsk;minsk;bus;5 АП;17957,;0;;A>B;A;ДС Веснянка - Вокзал;1234567;238920;;15846,54756,54757,15850,15852,15854,15856,15084,15112,15113,15890,15114,15115,16239,15866,230003;;d1-d5 - 16.04.2019<br>d6-d7 - 02.03.2019
;;;;;;;;B>A;A;Вокзал - ДС Веснянка;1234567;238922;;230003,243538,15870,15868,16238,15009,15010,15011,15526,15039,15040,15855,15853,15851,15849,54761,15847,68808,15846;;
1эл;;;;2 ТП + 3 ТП;17999,;;;A>B;A;ДС Веснянка - Вокзал;1234567;245091;;15846,54756,54757,15850,15852,15854,15856,15084,15112,15113,15890,15114,15115,16239,15866,230003;;d1-d5 - 16.04.2019<br>d6-d7 - 13.04.2019
;;;;;;;;B>A;A;Вокзал - ДС Веснянка;1234567;245093;;230003,243538,15870,15868,16238,15009,15010,15011,15526,15039,15040,15855,15853,15851,15849,54761,15847,68808,15846;;
2с;;;;6 АП;17992,;;;A>B;A;ДС ''Лошица-2'' - ст.м. Тракторный завод;1234567;243264;;68811,15462,15463,15464,15490,15491,15492,15493,15547,15549,14727,14729,14730,14731,14732,14733,15812,15813;;d1-d5 - 16.05.2019<br>d6-d7 - 06.04.2019
;;;;;;;;B>A;A;ст.м. Тракторный завод - ДС ''Лошица-2'';1234567;243265;;15813,15814,15811,14781,14782,14795,14796,14802,14804,15447,15450,15454,15455,15456,15465,15466,15467,68810,68811;;
3с;;;;2 АП;17956,;;;A>B;A;ДС Чижовка - Вокзал;12345;238653;;15534,15539,15540,15547,15549,15552,243538;;d1-d5 - 01.03.2019
;;;;;;;;B>A;A;Вокзал - ДС Чижовка;12345;238651;;243538,15443,15444,15447,15450,15501,15538,14616,15710,15533,193269,15534;;
;;;;;;;0.56;A1>D;A;ДС Чижовка - АП 2;12345;238649;;15534,15539,15540,15547;;
;;;;;;;0.61;D>A1;A;АП 2 - ДС Чижовка;12345;238650;;15450,15501,15538,14616,15710,15533,193269,15534;;
4;;;;;17998,;;;A>B;A;ДС Дружная - Железнодорожная станция ''Минск-Южный'';1234567;238701;;15914,15665,15838,15840,14721,14722,14723,14724,16184,16183;;d1-d5 - 18.05.2019<br>d6-d7 - 12.04.2019
;;;;;;;;B>A;A;Железнодорожная станция ''Минск-Южный''  - ДС Дружная;1234567;238702;;16183,16185,14807,14808,14809,15842,15841,15839,15844,15914;;
4д;;;;;18034,;;;A>B;A;Железнодорожная станция ''Минск-Южный'' - ДС Дружная;12345;248809;;16183,16185,15880,15881,15883,15884,15885,15919,15844,15914;;d1-d5 - 18.05.2019
5д;;;;6 АП;17985,;;;A>B;A;ДС Чижовка - Михановичи (кладбище);;242440;;;;d1-d5 - 30.03.2019
;;;;;;;;B>A;A;Михановичи (кладбище) - ДС Чижовка;12345;242439;;16175,16174,16176,230034,143045,16177,16165,16160,16182,14624,15530,15533,68866;;
5э;;;;;;;;A>B;A;ДС Чижовка - Михановичи (кладбище);1234567;242444;;68866,15536,15539,15541,16166,16178,230035,270415,16181,16179,16175;;d1-d5 - 30.03.2019<br>d6-d7 - 01.05.2019
;;;;;;;;B>A;A;Михановичи (кладбище) - ДС Чижовка;1234567;242443;;16175,16174,16176,230034,143045,16177,16165,15500,15538,15710,193269,68866;;
6;;;;2 АП;17968,;;;A>B;A;ДС Дружная - Брилевичи;1234567;240697;;71378,204368,15667,15668,15669,15675,14718,15676,15677,15678,230017,15689,211129,16231,71916,72681,16232,211138;;d1-d5 - 13.03.2019<br>d6-d7 - 16.03.2019
;;;;;;;;B>A;A;Брилевичи - ДС Дружная;1234567;240698;;211138,71972,72680,72679,73882,211130,15691,15679,15680,15681,15682,15698,15699,15700,15701,15844,71378;;
6эл;;;;4 ТП;18037,;;;A>B;A;ДС Дружная - Брилевичи;12345;249060;;71378,204368,15667,15668,15669,15675,14718,15676,15677,15678,230017,15689,211129,16231,71916,72681,16232,211138;;d1-d5 - 21.05.2019
;;;;;;;;B>A;A;Брилевичи - ДС Дружная;12345;249061;;211138,71972,72680,72679,73882,211130,15691,15679,15680,15681,15682,15698,15699,15700,15701,15844,71378;;
7;;;;2 АП;17968,;;;A>B;A;ДС ''Курасовщина'' - Колядичи;1234567;240700;;15836,15049,15050,15089,15960,58364,15990,15992,15993,15995,15997,191178,15998;;d1-d5 - 13.03.2019<br>d6 - 16.03.2019<br>d7 - 16.03.2019
;;;;;;;;B>A;A;Колядичи - Железнодорожная станция "Колядичи" - ДС ''Курасовщина'';1234567;240701;;15998,73901,16000,191180,191181,15996,15994,16001,15991,16159,15985,15052,15053,15056,15836;;
7а;;;;;;;;A>B;A;ДС ''Курасовщина'' - Железнодорожная станция "Колядичи" - Колядичи;1234567;240703;;15836,15049,15050,15089,15960,58364,15990,15992,15993,191180,191181,15995,15997,191178,15998;;d1-d5 - 13.03.2019<br>d6 - 16.03.2019<br>d7 - 16.03.2019
;;;;;;;;B>A;A;Колядичи - ДС ''Курасовщина'';1234567;240704;;15998,73901,16000,15996,15994,16001,15991,16159,15985,15052,15053,15056,15836;;
8;;;;5 АП;17775,;;;A>B;A;ДС ''Сухарево-5'' - Люцинская;1234567;227847;;133395,73664,71996,15177,14893,15178,14878,14867,14600,14601,15522,147005,273193,187016,187017,133381,133382,230067;;d1-d5 - 13.03.2019<br>d6-d7 - 01.09.2018
;;;;;;;;B>A;A;Люцинская - ДС ''Сухарево-5'';1234567;227848;;230067,133413,230015,71451,199081,133384,133385,73866,133344,72403,14606,14607,14868,14889,14890,14891,73662,71995,73663,133395;;
9;;;;6 АП;18032,;;;A>B;A;Серебрянка-9 - Завод железобетонных изделий;12345;248634;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;d1-d5 - 16.05.2019
;;;;;;;;B>A;A;Завод железобетонных изделий -  Серебрянка-9;12345;248636;;14793,69288,14791,14794,14820,14821,14822,14823,14750,14751,14752,14753,14824,14825,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0.42;D>A2;A;АП 6 -  Серебрянка-9;12345;248639;;15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;
;;;;;;;0;D>B;A;АП 6 - Завод железобетонных изделий;12345;248635;;15620,16040,16042,14826,14625,14713,14747,14748,14749,58367,14784,14785,14786,14787,14788,14789,14792,14793;;
9д;;;;;18017,;;;A>B;A;ДС Шабаны - Серебрянка-9;1234567;247241;;14746,14752,14753,14824,14825,14828,16041,15343,15344,15345,15346,15621,15622,14508,14509,15805,15803,15802,15800,15798,15797,15795;;d1-d5 - 16.05.2019<br>d6-d7 - 01.05.2019
;;;;;;;;B>A;A;Серебрянка-9 - ДС Шабаны;1234567;247242;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,15620,16040,16042,14826,14625,14713,14744,14746;;
;;;;;;;0;A>D;A;ДС Шабаны - АП 6;67;247239;;14746,14752,14753,14824,14825,14828,16041,14712;;
;;;;;;;0.63;B2>D;A;Серебрянка-9 - станция метро '' Могилёвская'' - АП 6;67;247236;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,14712;;
;;;;;18032,;;0.63;B2>D;A;Серебрянка-9 - Автостанция "Автозаводская" - АП 6;12345;248647;;15795,15796,15799,15801,15804,15806,14510,15618,15619,15295,15296,15297,14712;;
;;;;;18017,;;0.37;D>A2;A;АП 6 - ДС Шабаны;67;247240;;15620,16040,16042,14826,14625,14713,14744,14746;;
